transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
1,Paolo Rossi,https://www.transfermarkt.co.uk/paolo-rossi/profil/spieler/116757,https://img.a.transfermarkt.technology/portrait/medium/116757-1607585140.jpg?lm=1,Centre-Forward,21,-,78/79,['Italy'],Juventus FC,Serie A,Lanerossi Vicenza,Serie A,€2.65m
2,Trevor Francis,https://www.transfermarkt.co.uk/trevor-francis/profil/spieler/130319,https://img.a.transfermarkt.technology/portrait/medium/130319-1690213343.jpg?lm=1,Centre-Forward,24,-,78/79,['England'],Birmingham City,First Division (- 91/92),Nottingham Forest,First Division (- 91/92),€1.05m
3,Walter Novellino,https://www.transfermarkt.co.uk/walter-novellino/profil/spieler/166765,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Second Striker,25,-,78/79,['Italy'],AC Perugia,Serie A,AC Milan,Serie A,€950k
4,Paul Breitner,https://www.transfermarkt.co.uk/paul-breitner/profil/spieler/13766,https://img.a.transfermarkt.technology/portrait/medium/13766-1505132962.jpg?lm=1,Left-Back,26,-,78/79,['Germany'],Eintracht Braunschweig,Bundesliga,Bayern Munich,Bundesliga,€925k
5,Rainer Bonhof,https://www.transfermarkt.co.uk/rainer-bonhof/profil/spieler/72348,https://img.a.transfermarkt.technology/portrait/medium/72348-1478184400.jpg?lm=1,Defensive Midfield,26,-,78/79,['Germany'],Borussia Mönchengladbach,Bundesliga,Valencia CF,LaLiga,€875k
6,Horst Hrubesch,https://www.transfermarkt.co.uk/horst-hrubesch/profil/spieler/85456,https://img.a.transfermarkt.technology/portrait/medium/85456-1457430219.jpg?lm=1,Centre-Forward,27,-,78/79,['Germany'],Rot-Weiss Essen,2. BL North,Hamburger SV,Bundesliga,€600k
7,Asa Hartford,https://www.transfermarkt.co.uk/asa-hartford/profil/spieler/135280,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,28,-,78/79,['Scotland'],Manchester City,First Division (- 91/92),Nottingham Forest,First Division (- 91/92),€550k
8,Brian Talbot,https://www.transfermarkt.co.uk/brian-talbot/profil/spieler/176729,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Central Midfield,25,-,78/79,['England'],Ipswich Town,First Division (- 91/92),Arsenal FC,First Division (- 91/92),€510k
9,Piet Wildschut,https://www.transfermarkt.co.uk/piet-wildschut/profil/spieler/135634,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,21,-,78/79,['Netherlands'],FC Twente '65,Eredivisie,PSV Eindhoven,Eredivisie,€500k
10,Kevin Hird,https://www.transfermarkt.co.uk/kevin-hird/profil/spieler/500568,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,24,-,78/79,['England'],Blackburn Rovers,Second Division ,Leeds United,First Division (- 91/92),€422k
11,Hans Krankl,https://www.transfermarkt.co.uk/hans-krankl/profil/spieler/78388,https://img.a.transfermarkt.technology/portrait/medium/78388-1466159673.jpg?lm=1,Centre-Forward,25,-,78/79,['Austria'],Rapid Vienna,1. Division,FC Barcelona,LaLiga,€420k
12,Paul Futcher,https://www.transfermarkt.co.uk/paul-futcher/profil/spieler/430607,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,21,-,78/79,['England'],Luton Town,Second Division ,Manchester City,First Division (- 91/92),€405k
13,Wim Rijsbergen,https://www.transfermarkt.co.uk/wim-rijsbergen/profil/spieler/135646,https://img.a.transfermarkt.technology/portrait/medium/s_135646_123_2012_1.jpg?lm=1,Centre-Back,26,-,78/79,['Netherlands'],Feyenoord Rotterdam,Eredivisie,Sporting Étoile Club Bastia ,Division 1,€400k
14,Alan Kennedy,https://www.transfermarkt.co.uk/alan-kennedy/profil/spieler/176117,https://img.a.transfermarkt.technology/portrait/medium/176117-1673274567.jpg?lm=1,Left-Back,23,-,78/79,['England'],Newcastle United,Second Division ,Liverpool FC,First Division (- 91/92),€400k
15,Bruno Pezzey,https://www.transfermarkt.co.uk/bruno-pezzey/profil/spieler/76003,https://img.a.transfermarkt.technology/portrait/medium/76003-1423559092.jpg?lm=1,Sweeper,23,-,78/79,['Austria'],SpG WSG Wattens-FC Wacker Tirol,1. Division,Eintracht Frankfurt,Bundesliga,€400k
16,Ruud Geels,https://www.transfermarkt.co.uk/ruud-geels/profil/spieler/142872,https://img.a.transfermarkt.technology/portrait/medium/s_142872_123_2012_1.jpg?lm=1,Centre-Forward,29,-,78/79,['Netherlands'],Ajax Amsterdam,Eredivisie,RSC Anderlecht,Eerste klasse,€363k
17,Emanuel Günther,https://www.transfermarkt.co.uk/emanuel-gunther/profil/spieler/97692,https://img.a.transfermarkt.technology/portrait/medium/97692-1513175854.jpg?lm=1,Centre-Forward,23,-,78/79,['Germany'],Karlsruher SC,2. BL South,Fortuna Düsseldorf,Bundesliga,€350k
18,Frans Thijssen,https://www.transfermarkt.co.uk/frans-thijssen/profil/spieler/154232,https://img.a.transfermarkt.technology/portrait/medium/s_154232_123_2012_1.jpg?lm=1,Right Midfield,26,-,78/79,['Netherlands'],FC Twente '65,Eredivisie,Ipswich Town,First Division (- 91/92),€340k
19,Alberto Tarantini,https://www.transfermarkt.co.uk/alberto-tarantini/profil/spieler/135844,https://img.a.transfermarkt.technology/portrait/medium/135844-1630507906.jpg?lm=1,Left-Back,22,-,78/79,['Argentina'],CA Boca Juniors,MISSING VALUE,Birmingham City,First Division (- 91/92),€330k
20,Eamonn Bannon,https://www.transfermarkt.co.uk/eamonn-bannon/profil/spieler/116145,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,20,-,78/79,['Scotland'],Heart of Midlothian FC,MISSING VALUE,Chelsea FC,First Division (- 91/92),€325k
21,Glenn Roeder,https://www.transfermarkt.co.uk/glenn-roeder/profil/spieler/480740,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,22,-,78/79,['England'],Leyton Orient,Second Division ,Queens Park Rangers,First Division (- 91/92),€317k
22,Gordon Hill,https://www.transfermarkt.co.uk/gordon-hill/profil/spieler/176367,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,24,-,78/79,['England'],Manchester United,First Division (- 91/92),Derby County,First Division (- 91/92),€300k
23,Richard Páez,https://www.transfermarkt.co.uk/richard-paez/profil/spieler/601845,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Attacking Midfield,24,-,78/79,['Venezuela'],Estudiantes de Mérida,MISSING VALUE,Portuguesa FC,MISSING VALUE,€300k
24,Neil McNab,https://www.transfermarkt.co.uk/neil-mcnab/profil/spieler/454594,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,21,-,78/79,['Scotland'],Tottenham Hotspur,First Division (- 91/92),Bolton Wanderers,First Division (- 91/92),€276k
25,Joey Jones,https://www.transfermarkt.co.uk/joey-jones/profil/spieler/176093,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,23,-,78/79,['Wales'],Liverpool FC,First Division (- 91/92),Wrexham AFC,Second Division ,€250k
26,Harald Nickel,https://www.transfermarkt.co.uk/harald-nickel/profil/spieler/97310,https://img.a.transfermarkt.technology/portrait/medium/97310-1444834028.jpg?lm=1,Centre-Forward,24,-,78/79,['Germany'],Standard Liège,Eerste klasse,Eintracht Braunschweig,Bundesliga,€250k
27,Hubert Cordiez,https://www.transfermarkt.co.uk/hubert-cordiez/profil/spieler/320199,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,23,-,78/79,['Belgium'],RWD Molenbeek (- 2002),Eerste klasse,R Charleroi SC,Eerste klasse,€250k
28,Joey Jones,https://www.transfermarkt.co.uk/joey-jones/profil/spieler/176093,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left-Back,23,-,78/79,['Wales'],Liverpool FC,First Division (- 91/92),Wrexham AFC,Second Division ,€250k
29,Peter Withe,https://www.transfermarkt.co.uk/peter-withe/profil/spieler/130312,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,27,-,78/79,['England'],Nottingham Forest,First Division (- 91/92),Newcastle United,Second Division ,€250k
