transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
1,Neymar,https://www.transfermarkt.co.uk/neymar/profil/spieler/68290,https://img.a.transfermarkt.technology/portrait/medium/68290-1697056482.png?lm=1,Left Winger,25,100000000,17/18,['Brazil'],FC Barcelona,LaLiga,Paris Saint-Germain,Ligue 1,222000000
2,Kylian Mbappé,https://www.transfermarkt.co.uk/kylian-mbappe/profil/spieler/342229,https://img.a.transfermarkt.technology/portrait/medium/342229-1682683695.jpg?lm=1,Centre-Forward,19,120000000,18/19,"['France', 'Cameroon']",AS Monaco,Ligue 1,Paris Saint-Germain,Ligue 1,180000000
3,Philippe Coutinho,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444,https://img.a.transfermarkt.technology/portrait/medium/80444-1640621762.jpg?lm=1,Attacking Midfield,25,90000000,17/18,"['Brazil', 'Portugal']",Liverpool FC,Premier League,FC Barcelona,LaLiga,135000000
4,Ousmane Dembélé,https://www.transfermarkt.co.uk/ousmane-dembele/profil/spieler/288230,https://img.a.transfermarkt.technology/portrait/medium/288230-1684148641.jpg?lm=1,Right Winger,20,33000000,17/18,['France'],Borussia Dortmund,Bundesliga,FC Barcelona,LaLiga,135000000
5,João Félix,https://www.transfermarkt.co.uk/joao-felix/profil/spieler/462250,https://img.a.transfermarkt.technology/portrait/medium/462250-1668165358.jpg?lm=1,Second Striker,19,70000000,19/20,['Portugal'],SL Benfica,Liga NOS,Atlético de Madrid,LaLiga,127200000
6,Enzo Fernández,https://www.transfermarkt.co.uk/enzo-fernandez/profil/spieler/648195,https://img.a.transfermarkt.technology/portrait/medium/648195-1669894717.jpg?lm=1,Central Midfield,22,55000000,22/23,['Argentina'],SL Benfica,Liga Portugal,Chelsea FC,Premier League,121000000
7,Eden Hazard,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202,https://img.a.transfermarkt.technology/portrait/medium/50202-1665067742.jpg?lm=1,Left Winger,28,150000000,19/20,['Belgium'],Chelsea FC,Premier League,Real Madrid,LaLiga,120800000
8,Antoine Griezmann,https://www.transfermarkt.co.uk/antoine-griezmann/profil/spieler/125781,https://img.a.transfermarkt.technology/portrait/medium/125781-1719928503.jpg?lm=1,Centre-Forward,28,130000000,19/20,['France'],Atlético de Madrid,LaLiga,FC Barcelona,LaLiga,120000000
9,Jack Grealish,https://www.transfermarkt.co.uk/jack-grealish/profil/spieler/203460,https://img.a.transfermarkt.technology/portrait/medium/203460-1676499047.jpg?lm=1,Left Winger,25,65000000,21/22,"['England', 'Ireland']",Aston Villa,Premier League,Manchester City,Premier League,117500000
10,Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,https://img.a.transfermarkt.technology/portrait/medium/8198-1694609670.jpg?lm=1,Centre-Forward,33,100000000,18/19,['Portugal'],Real Madrid,LaLiga,Juventus FC,Serie A,117000000
