row_number,title,year,awards,nominations,best_picture
1,12 Years a Slave,2013,3,9,True
2,Gravity,2013,7,10,False
3,Dallas Buyers Club,2013,3,6,False
4,Frozen,2013,2,2,False
5,The Great Gatsby,2013,2,2,False
6,Her,2013,1,5,False
7,Blue Jasmine,2013,1,3,False
8,Mr Hublot,2013,1,1,False
9,The Lady in Number 6: Music Saved My Life,2013,1,1,False
10,Helium,2013,1,1,False
11,The Great Beauty,2013,1,1,False
12,20 Feet from Stardom,2013,1,1,False
13,The King's Speech,2010,4,12,True
14,Inception,2010,4,8,False
15,The Social Network,2010,3,8,False
16,The Fighter,2010,2,7,False
17,Toy Story 3,2010,2,5,False
18,Alice in Wonderland,2010,2,3,False
19,Black Swan,2010,1,5,False
20,In a Better World,2010,1,1,False
21,The Lost Thing,2010,1,1,False
22,God of Love,2010,1,1,False
23,The Wolfman,2010,1,1,False
24,Strangers No More,2010,1,1,False
25,Inside Job,2010,1,1,False
26,Argo,2012,3,7,True
27,Life of Pi,2012,4,11,False
28,Les Misérables,2012,3,8,False
29,Lincoln,2012,2,12,False
30,Django Unchained,2012,2,5,False
31,Skyfall,2012,2,5,False
32,Silver Linings Playbook,2012,1,8,False
33,Zero Dark Thirty,2012,1,5,False
34,Amour,2012,1,5,False
35,Anna Karenina,2012,1,4,False
36,Paperman,2012,1,1,False
37,Brave,2012,1,1,False
38,Searching for Sugar Man,2012,1,1,False
39,Inocente,2012,1,1,False
40,Curfew,2012,1,1,False
41,The Artist,2011,5,10,True
42,Hugo,2011,5,11,False
43,The Iron Lady,2011,2,2,False
44,The Descendants,2011,1,5,False
45,The Girl with the Dragon Tattoo,2011,1,5,False
46,Midnight in Paris,2011,1,4,False
47,The Help,2011,1,4,False
48,A Separation,2011,1,2,False
49,The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1,False
50,The Shore,2011,1,1,False
51,Undefeated,2011,1,1,False
52,The Muppets,2011,1,1,False
53,Saving Face,2011,1,1,False
54,Beginners,2011,1,1,False
55,Rango,2011,1,1,False
56,Spotlight  ,2015,2,6,True
57,Mad Max: Fury Road ,2015,6,10,False
58,The Revenant   ,2015,3,12,False
59,Bridge of Spies,2015,1,6,False
60,The Big Short  ,2015,1,5,False
61,The Danish Girl,2015,1,4,False
62,Room   ,2015,1,4,False
63,Ex Machina ,2015,1,2,False
64,The Hateful Eight  ,2015,1,2,False
65,Inside Out ,2015,1,2,False
66,Amy,2015,1,1,False
67,Bear Story ,2015,1,1,False
68,A Girl in the River: The Price of Forgiveness  ,2015,1,1,False
69,Son of Saul,2015,1,1,False
70,Spectre,2015,1,1,False
71,Stutterer  ,2015,1,1,False
72,Birdman,2014,4,9,True
73,The Grand Budapest Hotel,2014,4,9,False
74,Whiplash,2014,3,5,False
75,The Imitation Game,2014,1,8,False
76,American Sniper,2014,1,6,False
77,Boyhood,2014,1,6,False
78,Interstellar,2014,1,5,False
79,The Theory of Everything,2014,1,5,False
80,Ida,2014,1,2,False
81,Selma,2014,1,2,False
82,Citizenfour,2014,1,1,False
83,Big Hero 6,2014,1,1,False
84,Crisis Hotline: Veterans Press 1,2014,1,1,False
85,The Phone Call,2014,1,1,False
86,Still Alice,2014,1,1,False
87,Feast,2014,1,1,False
