transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
1,Neymar,https://www.transfermarkt.co.uk/neymar/profil/spieler/68290,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Ney0000ar,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
2,Kylian Mbappé,https://www.transfermarkt.co.uk/kylian-mbappe/profil/spieler/342229,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Kylian Mbappé,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
3,Philippe Coutinho,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Attacking Midfield,,Philippe Coutinho,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
4,Ousmane Dembélé,https://www.transfermarkt.co.uk/ousmane-dembele/profil/spieler/288230,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Right Winger,,Ous0000ane De0000bélé,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
5,João Félix,https://www.transfermarkt.co.uk/joao-felix/profil/spieler/462250,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Second Striker,,João Félix,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
6,Enzo Fernández,https://www.transfermarkt.co.uk/enzo-fernandez/profil/spieler/648195,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Central Midfield,,Enzo Fernández,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
7,Eden Hazard,https://www.transfermarkt.co.uk/eden-hazard/profil/spieler/50202,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Eden Hazard,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
8,Antoine Griezmann,https://www.transfermarkt.co.uk/antoine-griezmann/profil/spieler/125781,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Antoine Griez0000ann,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
9,Jack Grealish,https://www.transfermarkt.co.uk/jack-grealish/profil/spieler/203460,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Left Winger,,Jack Grealish,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
10,Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Centre-Forward,,Cristiano Ronaldo,MISSING VALUE,[],MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE,MISSING VALUE
